0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
6,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
10,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
15,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
20,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
25,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
30,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
35,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
40,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
50,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
60,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
70,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
80,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
90,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230
100,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260
