gear_int,rpm_bin,n_samples,mean_phys_torque,mean_ecm_torque,mean_error_nm,ratio_phys_over_ecm
1,650.0,146,-1.3575971039079544,20.189447636746575,-21.547044740654528,-0.0672429047259821
1,750.0,537,0.15354751850453024,18.98669973471713,-18.8331522162126,0.008087109431860293
1,850.0,349,0.5670259101571167,21.133723107046706,-20.56669719688959,0.02683038418195471
1,950.0,157,0.0,25.868855953387897,-25.868855953387897,0.0
1,1050.0,140,0.0,28.793532695268574,-28.793532695268574,0.0
1,1150.0,67,0.0,31.55916150755821,-31.55916150755821,0.0
1,1250.0,50,0.0,30.031800773688,-30.031800773688,0.0
1,1350.0,34,0.0,43.83148892652647,-43.83148892652647,0.0
1,1450.0,18,0.0,39.69860024243889,-39.69860024243889,0.0
1,1550.0,10,0.0,42.42696183433,-42.42696183433,0.0
1,1650.0,6,0.0,45.51855811403333,-45.51855811403333,0.0
1,1950.0,3,0.0,140.20409903346666,-140.20409903346666,0.0
1,2550.0,2,0.0,174.2918025111,-174.2918025111,0.0
1,2650.0,3,0.0,178.9045880734333,-178.9045880734333,0.0
1,2750.0,2,0.0,183.20464241119998,-183.20464241119998,0.0
1,2850.0,2,0.0,188.36470761655,-188.36470761655,0.0
1,2950.0,2,0.0,193.11431308965,-193.11431308965,0.0
1,3050.0,2,0.0,197.33618462125,-197.33618462125,0.0
1,3150.0,2,0.0,202.6135240358,-202.6135240358,0.0
1,3250.0,2,0.0,206.6594842536,-206.6594842536,0.0
1,3350.0,3,0.0,212.1322806835,-212.1322806835,0.0
1,3450.0,2,0.0,218.3869051748,-218.3869051748,0.0
1,3550.0,2,0.0,223.0778735433,-223.0778735433,0.0
1,3650.0,2,0.0,228.41385006245,-228.41385006245,0.0
1,3750.0,2,0.0,232.57708448945,-232.57708448945,0.0
1,3850.0,2,0.0,237.15708950110002,-237.15708950110002,0.0
1,3950.0,2,0.0,242.2822436952,-242.2822436952,0.0
1,4050.0,2,0.0,247.0413154468,-247.0413154468,0.0
1,4150.0,2,0.0,252.47153834295,-252.47153834295,0.0
1,4250.0,3,0.0,258.06446454676666,-258.06446454676666,0.0
1,4350.0,3,0.0,265.7521958379,-265.7521958379,0.0
1,4450.0,5,0.0,277.5237801535,-277.5237801535,0.0
1,4550.0,1,0.0,284.8698344984,-284.8698344984,0.0
2,650.0,22,0.0,6.598929880259091,-6.598929880259091,0.0
2,750.0,47,0.0,5.405039462910638,-5.405039462910638,0.0
2,850.0,37,0.0,6.684895570848649,-6.684895570848649,0.0
2,950.0,139,2.0563327766984196,27.61190659808201,-25.555573821383593,0.07447268334745336
2,1050.0,48,0.0,38.9347490747625,-38.9347490747625,0.0
2,1150.0,170,0.4874919554314885,31.95029360433059,-31.462801648899102,0.01525782396457894
2,1250.0,68,2.1674741921953937,30.449514225789706,-28.282040033594313,0.07118255405071837
2,1350.0,389,0.7878076654911311,27.582007645546785,-26.794199980055655,0.028562375720257823
2,1450.0,98,-0.7817785283374723,28.448717511741837,-29.23049604007931,-0.02748027316221912
2,1550.0,28,0.0,38.9722495713,-38.9722495713,0.0
2,2450.0,1,0.0,185.9537208686,-185.9537208686,0.0
2,4150.0,3,0.0,327.6474484859,-327.6474484859,0.0
2,4350.0,5,0.0,16.0620817812,-16.0620817812,0.0
2,4450.0,6,0.0,15.4271904031,-15.4271904031,0.0
